nodes	trait1
n20209	36.5551|37.4449
n20236	36.2602|37.7398
n20252	36.5275|37.4725
n20254	36.451|37.549
n20265	36.5154|37.4846
n20271	36.5236|37.4764
n20275	36.6933|37.3067
n20291	36.6031|37.3969
n20321	34.1822|35.5191
n20329	27.3067|28.6933
internal_node_1356	36.6741|37.3259
n20381	36.7155|37.2845
internal_node_1381	29.7569|30.1057
n20391	35.0499|35.6483
n20392	31.745|32.1853
internal_node_1414	29.7091|29.9735
n20403	28.7784|29.2168
n20416	32.5678|33.6754
n20422	30.8241|32.144
n20423	34.0021|35.2091
internal_node_1490	34.991|35.4864
n20425	33.3945|33.8594
n20427	35.0979|35.7136
n20452	28.566|29.0635
n20454	27.6333|27.8163
n20455	29.9562|30.0438
internal_node_1570	25.659|27.3568
83763	37.2745|38.7648
internal_node_1578	37.1931|38.715
n20471	37.3148|38.8116
135623+641	25.4787|26.5324
n20478	25.1055|26.1895
n20479	26.92|27.7622
n20480	26.5306|27.4913
n20481	27.2999|28.2321
n20483	26.6611|27.8511
n20488	26.6979|27.4238
n20489	25.3944|26.8484
n20490	26.3469|27.133
n20494	27.568|28.1331
n20495	27.1118|27.7661
n20504	25.695|26.2398
n20506	27.6146|28.3854
n20513	24.6848|25.8258
n20518	25.204|26.439
n20532	19.5477|20.4523
n20549	27.7365|28.4474
n20551	28.0308|28.3338
n20552	28.5255|28.9666
n20554	29.1276|29.5397
n20555	28.1754|28.7682
n20562	27.8505|28.1495
n20564	27.8809|28.1137
n20565	27.6164|28.1907
n20582	26.7838|28.026
n20584	26.1896|27.3881
n20612	27.7157|28.5042
n20620	24.79|25.253
internal_node_1925	19.6298|20.6162
n20638	25.7534|27.0837
n20640	25.8971|27.2874
n20650	25.0521|25.6541
n20663	26.4359|27.4677
267890	20.8885|21.8346
n20717	23.6863|24.9828
internal_node_2129	21.7424|22.6985
n20719	17.0584|17.8825
n20720	14.8937|15.8194
n20722	17.2654|18.4289
n20723	15.3689|16.4352
n20724	5.2267|6.3644
n20759	11.8095|12.652
n20762	14.7194|15.3576
n20763	17.4723|17.5277
n20767	5.889|6.5202
n20768	7.8196|8.4338
n20772	20.3959|21.1489
n20778	27.6271|28.572
n20779	33.5138|34.2177
n20780	33.6312|34.3611
n20782	35.6542|36.4482
n20794	13.1289|14.479
n20826	17.8207|19.1561
267894	19.3161|20.6628
n20828	22.5989|24.0082
n20830	20.3923|21.5534
n20831	12.6922|14.0391
n20864	9.621|10.379
n20866	9.6946|10.3054
n20867	9.6864|10.3136
n20871	9.6611|10.3389
n20872	9.6268|10.3732
n20880	19.6454|20.7629
n20883	9.8763|11.273
n20936	26.762|27.8392
n20937	26.3889|27.3899
n20938	26.4332|27.7186
n20944	27.452|28.2204
n20946	25.3676|26.1035
n20947	25.5242|25.7782
n20949	23.6785|24.136
n20950	24.5421|24.9869
n20952	23.3065|23.7916
n20953	24.9813|25.7211
n20973	26.3163|26.9727
n20974	25.6777|26.3563
n20976	25.7151|26.3573
n20979	27.9412|28.0588
n20990	10.9486|11.8845
n20991	14.7788|15.4731
internal_node_2757	14.1463|14.7758
n21014	27.8348|29.4452
n21017	30.2179|31.2401
n21019	31.4125|32.3122
n21047	27.7895|28.2105
n21048	27.7014|28.2986
internal_node_2898	16.2902|17.4952
n21068	18.4443|19.7952
internal_node_2910	30.154|31.3216
n21087	29.6513|30.3487
n21110	12.5517|13.6042
n21111	19.1272|20.4059
n21113	23.8661|24.5313
n21115	23.2536|23.8798
n21116	21.751|22.4306
n21131	30.3831|32.1545
internal_node_3071	29.5677|30.5927
n21136	27.6851|28.5779
n21137	25.4125|26.6598
n21140	28.3435|29.6619
n21147	27.5492|28.6471
n21168	27.7817|28.4646
n21169	27.9757|28.7861
n21171	28.2239|28.83
n21200	29.1339|30.3647
n21205	32.5911|33.4947
n21245	22.2802|23.9931
n21306	22.4331|24.0576
internal_node_3450	21.9843|23.0081
n21309	20.1426|21.2283
n21310	23.4363|25.072
n21350	23.2989|24.5235
n21362	22.2079|23.5256
n21363	27.4438|28.5562
n21366	18.7093|19.7954
n21370	12.4711|13.603
n21397	24.7638|26.2575
n21440	25.4363|26.5008
n21441	27.4764|28.6313
n21442	28.4944|29.7983
internal_node_3784	28.9107|30.0643
internal_node_3790	32.4111|33.1535
n21449	29.9394|30.8847
n21451	28.2457|29.0241
n21454	28.4855|29.2579
n21457	25.7306|26.4103
n21458	22.9551|23.7568
n21460	26.0929|26.8876
n21462	26.3692|27.1463
n21472	28.7035|29.0786
n21474	25.2782|25.8535
n21484	25.999|26.1828
n21527	25.9569|26.073
n21528	25.8453|26.4175
n21560	18.9814|19.2586
n21565	29.3121|29.9351
n21567	25.6721|26.2431
n21632	28.2616|28.8809
n21634	27.7891|28.3214
n21635	27.9788|28.1522
n21637	29.0161|29.5482
n21638	26.8954|27.4814
n21652	29.3239|29.7056
n21682	33.3761|34.2878
n21705	34.8917|35.7648
n21710	32.0537|32.9387
n21711	33.1285|34.008
n21712	30.163|31.1642
n21727	31.1726|31.8463
n21763	36.4684|37.5316
224379+2898533	28.3616|29.6597
n21806	29.518|30.7131
n21807	33.0578|34.3782
n21812	35.7089|36.7261
n21815	34.0163|34.9408
n21817	35.506|36.1755
n21821	33.4611|34.0625
n21823	27.6642|28.3358
n21875	25.0739|26.5208
internal_node_4683	23.1246|24.1434
n21900	24.8342|25.9805
1706375	22.5305|23.6062
internal_node_4754	20.3202|21.4945
n21904	27.1937|28.8063
n21924	13.7765|15.248
n21950	24.4677|25.7249
internal_node_4894	27.4185|28.5815
n21962	27.575|28.425
n21972	22.7666|24.2182
n21977	27.5082|28.4918
internal_node_5001	29.8337|30.9366
n21987	28.3177|29.3667
internal_node_5071	22.2512|23.3458
internal_node_5075	27.4822|28.5178
n22031	16.247|17.1628
n22034	25.6036|26.3118
n22039	31.4052|33.0394
n22042	33.26|35.0559
n22045	32.9031|34.1347
n22046	31.57|32.5828
n22114	34.6483|35.2811
n22115	36.6545|37.3455
n22141	29.7409|30.2591
n22144	24.4179|25.7501
n22145	24.8588|26.2693
n22148	24.7296|26.2779
n22152	16.1361|17.323
n22153	16.71|17.8032
n22154	9.1777|10.5392
n22159	-0.4191|0.4191
internal_node_5421	19.0633|20.163
n22185	14.8456|15.5873
n22202	24.7684|26.443
n22205	31.1138|32.528
n22208	21.8175|22.873
internal_node_5544	27.5891|28.718
n22217	29.4584|30.5416
n22233	21.7584|23.4659
n22241	23.6547|25.3063
internal_node_5649	23.2985|24.4374
n22244	24.4555|25.5445
n22251	22.1489|23.5384
internal_node_5669	24.9723|25.0277
internal_node_5676	20.2387|20.425
n22259	20.4438|21.9447
n22262	21.2046|22.2362
n22263	24.7983|25.8136
n22264	25.4491|26.2353
n22265	28.1387|29.2129
internal_node_5701	28.4347|29.4803
internal_node_5705	29.7309|30.2691
internal_node_5728	22.5308|23.3255
n22279	27.6078|28.3922
n22284	23.8794|24.8287
n22285	19.9828|21.1639
n22287	27.8525|28.1475
n22292	8.6277|10.0698
internal_node_5794	19.3083|20.6917
2887326+468	30.8954|32.3743
internal_node_5820	29.2501|30.1882
n22309	29.1592|30.0628
n22311	28.7737|29.902
n22312	28.5769|29.5753
n22314	28.209|29.0353
n22315	28.6566|29.4827
n22316	28.664|29.2858
n22317	28.9326|29.7485
n22318	28.8437|29.5319
n22319	28.4237|29.4799
n22330	28.9444|29.538
n22332	28.7442|29.3217
n22333	29.6888|30.3112
n22336	29.0889|29.9687
n22343	29.8123|30.1877
n22355	27.9123|28.8187
n22357	28.665|29.8195
n22365	28.5452|29.2243
n22379	29.278|30.2104
n22381	28.7921|29.4786
internal_node_6025	33.4995|34.8277
n22399	31.9739|33.4269
n22401	27.0188|28.0806
n22407	21.7622|22.2378
n22444	36.326|37.674
n22465	33.0407|34.4832
n22466	27.4649|29.5761
568386	28.181|29.4426
n22469	27.946|29.4082
n22474	28.7971|29.4463
n22475	29.8172|30.001
n22482	28.4062|29.4656
n22484	27.6069|28.3931
135615+255526	36.5177|38.1859
3018589	28.3916|29.6626
n22519	39.2529|40.8452
868	35.9517|37.2299
internal_node_6342	35.9824|36.9201
n22526	34.5071|35.75
n22527	31.9263|33.6204
n22528	36.5538|37.7398
206389+2008794+75787	28.3502|29.3468
n22530	28.674|29.9918
n22531	29.2235|30.2611
32003	28.1017|29.2129
n22533	28.9716|29.9571
internal_node_6365	30.6712|31.6358
n22537	31.8772|32.7028
n22538	33.2132|34.1775
n22539	32.1501|33.4095
80864	30.1555|31.1949
n22545	28.457|29.3956
n22546	26.8978|28.1215
n22548	25.0376|25.9239
n22550	21.6687|22.7273
n22553	20.1475|20.8164
internal_node_6391	26.2965|27.2193
internal_node_6396	27.92|28.9919
n22558	28.2619|29.4606
n22564	31.0586|31.9101
n22565	32.6274|33.8432
n22618	18.2922|18.9065
internal_node_6587	27.9461|29.2202
n22633	27.6916|28.3836
n22635	25.6566|26.6693
n22636	25.1389|26.0004
n22637	22.7131|23.6991
n22640	21.25|21.8598
n22642	24.1654|24.8133
internal_node_6623	25.7104|26.447
n22662	27.7741|28.2259
internal_node_6667	29.0069|29.8006
n22670	27.2811|27.7205
internal_node_6842	31.0918|32.0735
n22763	24.9079|25.0921
internal_node_6960	34.1663|35.4581
n22815	36.2103|37.7897
n22822	33.9443|35.2126
internal_node_7075	32.9066|34.0165
internal_node_7081	31.0639|32.1371
n22830	27.2083|28.2361
n22835	23.9124|24.7734
n22837	27.5922|28.8995
n22844	28.0357|29.1073
n22845	27.4768|28.5232
internal_node_7290	22.2329|22.7096
n22943	29.2435|29.4232
n23004	35.0562|36.2188
n23006	34.3079|35.215
internal_node_7484	36.3134|37.6866
n23011	36.6301|37.3699
n23014	36.7906|37.2094
n23033	36.7697|37.2303
n23034	36.7051|37.2949
n23037	36.8715|37.1285
n23042	36.7991|37.2009
internal_node_7699	32.7703|34.0731
n23095	32.1768|33.1773
n23097	28.7059|29.1368
internal_node_7727	36.5893|37.4107
n23110	29.6126|30.8374
n23112	31.569|32.8411
n23116	28.1838|28.959
n23120	26.6969|27.6844
n23123	26.0297|26.8695
n23124	25.1458|26.0265
n23127	27.6586|28.365
n23128	29.6582|30.3418
n23170	19.805|20.5443
n23173	27.258|28.2714
n23176	24.8149|25.5475
n23179	28.3807|29.1916
n23193	22.4641|22.9825
n23253	28.9162|29.5391
n23256	38.0776|38.7152
n23259	41.0899|41.7259
n23262	29.1359|29.6016
n23266	28.968|29.3335
n23274	61.3998|61.9948
n23275	29.7483|30.2037
n23278	33.2675|33.644
n23280	36.7869|37.2131
n23284	27.9099|28.3635
n23320	27.2965|28.5362
n23321	28.1634|29.1372
n23323	28.4465|29.1951
n23324	26.9115|27.5606
n23325	26.2255|26.7801
n23326	26.5479|27.0676
n23329	26.0362|26.4237
n23330	24.9674|25.4657
internal_node_8238	28.0054|28.9023
n23354	26.2055|26.554
n23387	29.8865|31.1046
n23389	31.365|32.4575
2897177	30.4381|31.8227
n23391	31.7754|33.312
1499392	30.9303|32.036
n23395	32.6716|33.8974
n23398	36.4243|37.4817
n23402	36.6295|37.2517
n23403	36.5427|37.2854
n23406	36.3506|37.0152
n23408	36.0957|36.6847
n23409	35.2794|35.8883
n23412	34.6973|35.3553
n23413	35.9672|36.8776
n23414	36.3867|36.6473
n23416	36.4723|36.5277
n23417	33.84|34.2453
n23418	36.7534|37.0794
n23419	36.5388|37.0451
internal_node_8408	36.5173|37.4136
n23426	36.3798|37.4234
n23427	36.5006|37.2335
n23428	36.2177|37.1751
n23437	36.5318|37.4682
internal_node_8511	28.5028|29.3383
n23534	27.0557|27.7346
n23538	24.2095|25.5289
n23540	21.7605|23.5032
206379	26.2604|27.4803
n23588	25.5538|26.9559
n23595	30.9709|31.9493
n23596	25.9947|27.1445
internal_node_8921	27.5457|28.4543
n23626	27.8801|28.7134
internal_node_8994	29.4971|30.286
n23631	29.3865|30.0394
n23634	29.8946|30.1054
n23638	29.1693|29.5834
n23643	26.9561|27.9124
internal_node_9033	26.7656|27.6326
n23669	26.6835|28.3519
internal_node_9108	26.3928|27.4936
internal_node_9113	25.6977|26.8193
n23679	26.4861|27.5944
n23682	31.9312|32.9302
n23684	32.507|33.5551
n23689	27.4944|28.4056
n23696	27.2496|27.3261
n23697	25.1991|25.3778
n23722	31.6333|32.4918
n23812	31.0446|32.0958
n23818	36.6344|37.3656
internal_node_9474	21.3302|22.499
n23859	24.1464|25.1964
n23880	28.0816|29.0842
n23882	28.6479|29.8551
n23905	27.3594|28.8019
n23921	27.831|28.7804
n23924	28.2078|28.8442
n23972	36.3692|37.7713
n23985	21.8875|23.0209
internal_node_9814	16.6665|17.6194
internal_node_9818	30.7309|31.7455
n23996	29.6684|30.3316
n23997	31.3368|32.0377
n24010	29.2047|30.2034
n24011	27.6262|28.8352
internal_node_9875	16.2554|17.2591
n24016	-0.4406|0.4406
n24023	32.5372|33.7786
internal_node_9972	19.6606|20.6523
n24043	20.4539|21.4176
n24044	27.6471|28.3529
n24048	18.9902|19.1374
n24050	31.9648|33.9148
internal_node_10006	37.7484|38.6751
n24054	27.7121|28.2256
n24055	24.6195|25.3805
n24067	18.5916|20.2795
n24068	27.5264|28.7889
internal_node_10062	26.877|27.8476
n24070	27.5878|28.5513
n24071	27.398|29.1718
n24072	26.5345|27.7196
45401	26.0796|27.036
204455+2813035+31989	25.7123|26.5121
n24076	27.8145|29.046
n24078	26.7236|28.2432
internal_node_10080	26.9394|28.2265
internal_node_10097	26.8275|27.5889
internal_node_10104	26.8806|27.6962
internal_node_10107	26.4617|27.2646
n24089	25.7635|26.6582
n24090	18.4876|19.5074
n24093	11.6561|12.9395
internal_node_10263	23.7234|24.5601
n24151	23.2529|23.9123
n24153	24.1651|25.0065
n24158	24.8236|25.1764
n24159	22.1064|22.9517
n24165	24.3933|25.0312
n24180	38.2466|39.6187
internal_node_10389	29.8405|30.1595
n24263	27.8554|29.0793
n24264	28.0701|29.3322
internal_node_10630	27.4747|28.5351
internal_node_10633	28.5886|29.6914
n24288	28.4452|29.6228
n24293	27.7981|29.1388
n24299	25.9764|26.6734
n24308	29.5495|30.4505
n24323	28.6717|29.8214
n24364	28.8339|29.9374
n24372	24.3126|26.1402
n24375	27.4384|28.7389
n24445	26.4163|27.7083
n24446	26.3633|27.5358
n24448	22.8858|23.8336
n24462	19.6396|20.3604
n24478	31.6382|32.9452
n24480	27.8296|29.0836
n24486	28.957|29.5299
internal_node_11171	41.8411|43.0599
n24531	27.2137|28.2172
n24536	26.2653|27.3092
n24538	27.3506|28.4536
internal_node_11297	27.0569|27.9431
n24542	26.7832|28.2168
n24624	27.4794|28.6027
internal_node_11564	24.6365|26
internal_node_11630	24.4551|25.7401
n24693	20.6694|21.7445
2800060+69657	26.7395|28.1575
internal_node_11861	21.3921|22.5614
n24760	29.7597|30.9483
n24762	30.0248|30.9259
n24763	32.6855|33.5812
n24765	34.6384|35.4392
n24803	10.0505|11.151
internal_node_11954	28.5351|30.3475
2800059	28.3759|29.5941
n24838	27.6643|29.2161
n24839	27.3281|28.6719
n24840	27.257|28.743
n24853	27.3882|28.6118
n24862	27.6342|28.3658
n24883	29.3288|30.6712
n24901	28.3297|29.741
n24902	27.5374|29.2504
internal_node_12217	27.411|28.755
n24905	27.4438|28.201
internal_node_12224	27.172|28.1645
n24908	26.0641|27.172
n24911	31.0571|32.0236
n24912	26.922|28.0081
n24913	28.9423|30.4563
n25012	28.6541|30.1229
n25040	25.0815|26.6201
n25114	24.1861|25.189
n25119	19.7525|20.4665
n25120	19.7492|20.6183
n25123	28.066|28.8277
n25125	28.3284|29.2237
n25164	27.953|29.1954
n25202	28.2072|29.4678
n25220	27.433|28.4672
n25222	24.6875|25.5747
n25223	25.3081|26.355
n25224	24.977|25.8157
n25227	24.1829|24.6883
n25246	22.7113|23.9261
n25253	28.4697|29.1688
n25297	28.7001|29.5889
n25330	29.2921|30.0011
n25412	28.3282|28.9703
internal_node_13426	24.1813|25.1659
n25447	23.0826|24.1824
n25448	26.3885|27.8097
internal_node_13431	26.9135|28.1541
n25450	27.1716|28.1207
335928	27.5432|28.4684
n25453	26.6867|28.2621
45404	26.7889|27.9533
n25457	29.3006|30.4846
n25458	30.1434|31.4553
119045	32.0451|33.6619
n25462	26.5732|27.5678
n25463	23.2895|24.6146
n25487	28.8434|29.7499
n25493	27.57|28.43
n25494	27.8381|28.1619
n25548	27.7256|28.2744
n25553	27.9439|28.0561
n25565	26.2694|27.2355
internal_node_13684	25.795|26.6734
n25569	20.9227|21.7684
n25575	21.374|22.2052
internal_node_13745	26.8403|27.7287
n25592	26.7908|27.4337
n25601	27.9068|28.7262
n25643	28.0295|28.7547
internal_node_13893	28.2708|28.9209
n25657	28.6618|29.2862
n25660	27.7446|28.2554
n25661	27.8255|28.1745
n25700	28.219|29.6706
n25701	28.5983|29.9708
n25763	26.5469|27.8508
internal_node_14162	26.2397|27.0785
n25803	15.2115|16.8093
internal_node_14323	17.4723|17.5277
n25826	25.1084|26.5104
internal_node_14363	27.0327|27.7898
n25845	26.3615|27.6547
internal_node_14409	26.1077|27.1393
n25853	25.3836|26.3595
n25854	24.1983|25.2095
n25855	29.435|30.4663
internal_node_14421	28.9624|29.8343
internal_node_14429	28.1788|29.2166
internal_node_14435	26.3624|27.6125
n25865	21.619|22.7727
n25867	19.6337|20.4842
n25871	27.9593|28.6016
n25874	27.7732|28.7313
n25888	28.1685|28.5071
n25905	25.4224|26.1707
n25908	24.9339|25.2353
n25913	28.1132|28.6583
n25915	29.5843|30.4157
internal_node_14564	13.4888|14.5658
255475	27.2585|28.7415
internal_node_14652	27.5863|28.4137
n25973	27.4565|28.5435
n25989	27.9435|28.0565
n26010	29.38|30.62
n26014	29.7619|30.2381
n26016	29.9661|30.0339
n26037	29.7999|30.2001
n26049	29.3573|30.0732
n26058	29.0465|29.4288
n26086	29.4333|30.411
n26091	25.0781|25.6991
n26125	35.355|36.0293
n26128	34.6785|35.0406
n26129	33.352|33.6887
n26130	36.7791|37.2209
n26131	36.7963|37.2037
n26132	36.6799|37.3201
n26151	36.6864|37.3136
n26152	36.7695|37.2305
n26186	16.6097|17.7306
n26282	27.8087|28.1913
2831106	26.6306|27.8479
n26289	26.0242|27.4189
n26337	27.5161|29.2156
n26368	35.5668|36.1929
n26375	35.0831|35.4491
n26377	36.3837|36.7626
n26384	36.8869|37.1131
2844601	27.2538|28.4077
2066434	27.0416|28.3475
n26421	27.3433|28.6479
n26422	28.9789|30.2354
n26423	34.9868|36.5362
n26425	40.4924|41.8015
433	29.6847|31.1105
n26434	30.6997|31.6647
n26435	29.0254|29.7211
n26437	28.6381|29.425
n26439	29.2004|30.3306
n26441	29.2235|30.1745
internal_node_15750	29.6556|30.3444
n26445	29.7037|30.2963
n26446	29.5028|30.4972
n26463	29.6565|30.3435
n26465	29.5279|30.4721
n26477	28.2434|29.3693
internal_node_15824	28.688|29.3352
n26480	27.0218|27.8164
internal_node_15914	28.3582|28.7622
n26512	28.863|29.1815
n26513	29.1756|29.4911
internal_node_15943	29.2755|30.1741
n26521	28.759|29.3378
n26523	27.8655|28.1345
n26524	27.821|28.179
n26539	29.8421|30.1579
n26570	29.3848|30.6152
n26646	30.1808|32.3192
2844864	21.2986|22.3663
n26666	28.2616|29.4686
2829815	22.7208|24.1943
n26680	29.3578|30.6422
n26715	16.876|17.5855
internal_node_16509	26.5561|27.508
n26745	27.3389|28.6611
n26757	24.935|26.3903
n26759	28.434|29.6203
n26760	27.6947|28.7733
n26761	26.6997|27.7914
n26762	25.5101|26.4506
n26780	14.9925|15.6223
n26781	16.1524|16.7652
n26786	12.3268|12.6906
n26796	41.4084|43.2657
200930+68337+191393	48.7985|50.2373
n26798	44.2674|46.1358
n26806	51.9922|53.5266
200938+118001+189769+189770	27.3785|28.6215
n26813	37.9235|38.7831
n26814	40.4971|41.8218
29547	50.994|52.8346
3031852+235899	41.5474|42.7935
n26817	43.3212|44.7356
n26819	30.0088|31.3774
n26820	28.6213|29.7644
n26821	30.5916|32.0384
internal_node_16785	29.8239|31.3276
internal_node_16789	36.3506|37.6494
n26825	36.4142|37.5858
n26827	36.4101|37.5899
n26830	36.8041|37.196
n26831	36.5664|37.4337
n26834	36.5096|37.4914
n26837	36.9285|37.0746
n26838	36.7805|37.2232
n26841	36.7933|37.6671
n26846	37.6202|38.5223
n26848	38.7194|39.526
n26864	36.4947|37.5053
n26865	36.5956|37.4044
n26866	36.4844|37.5156
n26876	27.7893|28.3001
n26877	27.7444|28.4689
n26879	25.4733|25.9534
internal_node_16910	32.0922|33.2297
n26885	25.1512|26.4321
internal_node_16921	26.9586|27.902
n26892	32.9403|33.6434
n26915	26.0152|27.7677
2771471	21.8707|23.2238
internal_node_16989	19.5747|20.6042
n26919	22.5521|23.6824
72293	36.4016|37.5984
n26934	36.5571|37.4429
n26935	36.4373|37.5627
n26936	36.5157|37.4843
n26937	36.6128|37.3872
n26939	36.7811|37.2189
n26940	36.7583|37.2417
n26947	36.6718|37.3282
n26964	36.3663|37.6337
n26988	38.7316|40.4758
internal_node_17156	46.0434|47.1959
internal_node_17165	34.6867|35.7709
3031853+213113	57.8589|59.4265
n27004	60.4546|61.5165
3031449+213115+2956789	36.6018|37.6242
n27006	32.0335|33.1292
n27007	32.1505|33.4044
internal_node_17206	30.4255|31.5587
n27009	31.6432|33.077
n27012	28.2294|29.4969
n27014	27.5106|28.929
n27016	32.7129|33.8245
n27017	30.5253|31.7275
n27018	32.5879|33.4645
n27023	29.2117|30.2917
n27027	36.3129|37.6871
n27030	18.1348|19.4837
n27045	28.8528|30.1423
n27048	28.5577|29.6952
n27076	29.2784|30.7216
n27077	29.2797|30.7203
213116	31.3515|33.0089
internal_node_17468	32.1287|33.1919
n27117	46.1873|47.6432
n27120	52.0507|53.6823
28221	35.2319|36.2288
n27124	29.9887|31.0725
n27125	30.9246|32.3726
n27126	32.4535|33.3619
n27127	33.0928|34.2645
n27128	31.9742|33.2622
3024418+213118+213119	31.1989|32.4576
internal_node_17512	28.3866|29.5385
n27132	28.4758|29.5675
n27133	25.954|27.5176
n27136	27.7016|29.3015
n27138	26.0552|27.4226
n27140	28.7456|29.6248
n27141	30.0439|31.0123
internal_node_17527	30.9172|31.6457
n27147	29.4143|30.5857
internal_node_17560	23.879|24.1307
n27163	29.7646|31.038
n27167	31.0707|32.3981
internal_node_17650	28.6383|28.9634
n27179	35.2727|36.9765
n27184	36.1181|37.8819
n27188	31.0134|32.4724
3031451+3024411+213121	29.3163|30.5804
n27190	26.0019|27.4272
internal_node_17696	23.4077|24.8317
internal_node_17701	16.2339|17.9121
internal_node_17776	34.5656|36.0273
3018035	25.4106|27.7082
3031418+213481+213483	27.3934|28.6066
internal_node_17871	27.9447|29.2834
internal_node_17874	28.3602|29.2895
n27244	27.0649|28.0813
n27245	24.0135|25.0858
internal_node_17922	21.7686|22.4431
n27265	29.9098|30.0902
n27268	31.1154|32.201
n27275	29.4138|30.5862
n27285	27.5113|29.0251
internal_node_17979	29.3247|30.6753
n27309	40.6902|42.3685
n27310	33.3213|35.0353
2818505+32015+29	27.9084|29.4536
n27313	28.1286|29.8226
39	29.3234|30.3608
internal_node_18055	28.9469|29.7345
internal_node_18059	28.4245|29.2218
internal_node_18062	28.0303|28.6535
n27346	29.6094|30.3906
n27350	29.7505|30.2495
n27363	27.5973|29.4121
n27391	28.9649|31.0351
n27407	68.2031|69.6889
internal_node_18314	66.3345|67.4338
n27412	64.7944|65.2056
internal_node_18333	69.5728|70.4272
n27417	39.3034|40.5603
n27418	41.9974|43.2305
n27419	40.784|41.7675
internal_node_18354	42.527|43.6263
544448+31969+526524+526525	36.5929|38.164
n27423	39.0825|40.5525
internal_node_18361	31.8211|33.0659
internal_node_18366	32.6482|33.439
n27427	32.7444|33.8744
n27428	33.29|34.6805
internal_node_18371	33.6094|34.4486
n27431	32.8164|33.7607
n27432	32.9636|34.0004
186828+81852	33.478|34.3846
n27434	32.3301|33.2669
n27435	34.5133|35.8448
n27439	31.9369|32.8808
n27440	31.4794|32.8446
n27441	32.0273|32.8629
n27442	30.3182|31.1844
n27443	30.8093|31.6304
n27444	28.9253|29.781
n27445	28.2244|29.3659
n27446	27.8424|28.9313
n27447	29.2181|30.7819
n27507	26.88|27.9904
n27534	22.4607|23.0919
n27560	29.6391|30.8869
