nodes	trait1
root	74.6247|76.9936
internal_node_4	59.2808|60.385
n19795	50.6795|51.8546
200940+57723+533205	42.8428|44.1136
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	48.9466|50.2633
internal_node_13	42.7096|43.9786
internal_node_18	43.1807|44.1191
n19801	37.2461|38.3048
n19802	35.3877|36.3729
n19803	31.7368|33.0898
internal_node_24	23.5635|25.1602
135618+1486721	28.7456|30.1644
1775403	28.6067|29.8425
135613+1046	26.6186|27.8464
72276	26.2349|27.5841
internal_node_33	27.8204|28.8334
n19812	29.9137|31.2447
internal_node_39	30.2908|31.1236
118969+72273+135617	28.4411|29.3723
internal_node_43	25.5564|26.8511
135616	24.7337|25.6831
255527	26.3427|27.2461
n19818	27.5476|28.6887
135622+28256+72275	25.3263|26.2273
135620	25.0519|26.169
n19821	27.3959|28.7998
n19823	23.3841|24.8216
267888	25.7141|26.7364
n19825	24.4017|25.3679
135624+84642	28.1463|29.5222
n19827	29.7765|30.8835
n19828	31.8337|32.8754
91347+543	32.7259|33.8552
internal_node_60	30.5638|31.3399
1903409+1903410+1903412	28.6501|29.4858
n19833	26.9652|27.8741
n19834	27.416|27.9714
n19835	27.6697|28.271
internal_node_73	30.8878|31.5623
internal_node_84	31.2856|31.9111
n19840	29.9217|30.6312
n19841	32.2262|33.0524
n19842	34.5448|35.2247
n19843	34.1162|35.0717
internal_node_92	33.7026|34.4317
n19845	36.5262|37.2146
n19847	36.1981|37.0908
internal_node_137	35.9981|36.2995
n19864	36.7981|37.2019
n19865	36.8901|37.1099
n19866	36.8539|37.1461
n19867	36.8444|37.1556
n19870	35.3671|35.8289
n19878	31.5246|32.368
n19880	36.7852|37.2148
n19884	36.8813|37.1187
n19902	36.5693|37.4307
n19904	35.015|35.8975
internal_node_238	34.3288|34.9235
n19907	33.648|34.3706
n19908	31.9947|32.5741
n19909	36.69|37.31
n19911	36.9435|37.0565
n19912	36.8631|37.1369
n19913	35.1532|35.3595
internal_node_283	28.3513|29.3311
n19921	28.4758|29.5416
n19928	29.2933|29.7787
n19930	34.4048|35.1306
n19931	28.8176|29.4652
n19952	28.8687|29.6626
n19960	29.566|30.434
n19972	28.4013|29.2097
n19984	32.2915|33.1164
n19985	33.0367|33.5983
n19986	33.1956|33.8519
internal_node_473	32.9144|33.3771
n20031	29.029|30.0362
n20047	29.4741|30.5259
n20066	26.9272|27.0728
internal_node_621	26.3327|27.003
n20071	26.9864|27.5614
n20072	27.3077|28.3706
n20074	27.7662|28.2188
n20089	25.7569|26.2431
internal_node_683	25.6483|26.4719
n20098	25.6666|26.6554
n20106	25.8159|26.5244
n20109	25.5216|26.4784
n20121	26.5616|27.2513
n20122	27.3859|28.0844
internal_node_745	28.4832|29.6302
n20132	29.5176|30.3041
n20137	28.718|29.2133
n20139	29.4086|29.9642
n20140	29.0267|29.3221
n20141	29.7337|30.1016
n20142	29.4781|30.104
n20144	29.4349|29.9776
n20145	29.823|30.4527
n20148	31.2017|31.358
n20169	28.5037|29.0309
n20172	26.904|27.2486
n20178	25.365|26.4416
n20179	25.5174|26.2259
n20180	26.4476|27.2815
n20190	30.7021|31.6617
1903414	32.2669|33.3444
n20192	34.5911|36.1139
internal_node_903	36.373|37.627
internal_node_909	36.5992|37.4008
internal_node_912	36.5851|37.4149
n20201	36.4953|37.5047
n20202	36.4828|37.5172
n20203	36.4654|37.5346
n20204	36.4099|37.5901
n20207	36.5253|37.4747
