nodes	trait1
root	75.8091373408097
internal_node_4	59.8328936914168
n19795	51.2670525409517
200940+57723+533205	43.4781999478691
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	49.6049416223511
internal_node_13	43.34407539752
internal_node_18	43.6498700051109
n19801	37.7754389262919
n19802	35.8803144887804
n19803	32.4132853216003
internal_node_24	24.3618403992027
135618+1486721	29.4550367289448
1775403	29.2245967927306
135613+1046	27.2324947601087
72276	26.9095231695829
internal_node_33	28.3268799590902
n19812	30.5791571267972
internal_node_39	30.7071893244479
118969+72273+135617	28.9067338877512
internal_node_43	26.2037286055372
135616	25.2083837087295
255527	26.7943917732252
n19818	28.118128512316
135622+28256+72275	25.7768088025016
135620	25.6104599676054
n19821	28.0978578268996
n19823	24.1028151969759
267888	26.225278991859
n19825	24.8848065972759
135624+84642	28.8342640577768
n19827	30.3299927055103
n19828	32.3545371568175
91347+543	33.2905488509674
internal_node_60	30.9518822825173
1903409+1903410+1903412	29.067918304089
n19833	27.4196292088331
n19834	27.6936900175326
n19835	27.970350421891
internal_node_73	31.2250679510856
internal_node_84	31.598355880797
n19840	30.2764386061029
n19841	32.6393019898509
n19842	34.884743633444
n19843	34.5939154898251
internal_node_92	34.0671527133857
n19845	36.87040253428
n19847	36.6444889830626
internal_node_137	36.148801076189
n19864	37
n19865	37
n19866	37
n19867	37
n19870	35.5979827089337
n19878	31.9462801334068
n19880	37
n19884	37
n19902	37
n19904	35.4562239815118
internal_node_238	34.6261606994507
n19907	34.0093026820074
n19908	32.2843924715886
n19909	37
n19911	37
n19912	37
n19913	35.2563176895307
internal_node_283	28.8411942726325
n19921	29.0086690620658
n19928	29.5359779363023
n19930	34.7676854995782
n19931	29.1413919413919
n19952	29.2656831073747
n19960	30
n19972	28.8055490242182
n19984	32.7039431254922
n19985	33.3175031692173
n19986	33.5237245808063
internal_node_473	33.1457286432161
n20031	29.5325658891245
n20047	30
n20066	27
internal_node_621	26.6678022238176
n20071	27.2738864785082
n20072	27.8391227205882
n20074	27.9924981245311
n20089	26
internal_node_683	26.0601159032427
n20098	26.1610091154964
n20106	26.1701867156413
n20109	26
n20121	26.906439399243
n20122	27.7351475982653
internal_node_745	29.0567125662773
n20132	29.9108427269176
n20137	28.9656638215388
n20139	29.686427282561
n20140	29.1744042591246
n20141	29.917652838114
n20142	29.7910616127521
n20144	29.7062526083006
n20145	30.1378890949817
n20148	31.2798742138365
n20169	28.767274737424
n20172	27.0763260025873
n20178	25.9033470738851
n20179	25.8716201569813
n20180	26.8645303867403
n20190	31.1819027335946
1903414	32.8056768797152
n20192	35.3524749319911
internal_node_903	37
internal_node_909	37
internal_node_912	37
n20201	37
n20202	37
n20203	37
n20204	37
n20207	37
n20209	37
n20236	37
n20252	37
n20254	37
n20265	37
n20271	37
n20275	37
n20291	37
n20321	34.8506376282024
n20329	28
internal_node_1356	37
n20381	37
internal_node_1381	29.9313105980949
n20391	35.3491131142378
n20392	31.9651347068146
internal_node_1414	29.8412909349786
n20403	28.9976019184652
n20416	33.1216030056356
n20422	31.484083957071
n20423	34.6055713766618
internal_node_1490	35.2386702587373
n20425	33.626975558752
n20427	35.4057559789218
n20452	28.8147354869581
n20454	27.7247706422018
n20455	30
internal_node_1570	26.5079021628648
83763	38.019668883232
internal_node_1578	37.9540237510781
n20471	38.063164392017
135623+641	26.0055725451383
n20478	25.6475112898266
n20479	27.3411078324713
n20480	27.0109480442756
n20481	27.7660148596674
n20483	27.2560821030333
n20488	27.0608437195081
n20489	26.1214026821916
n20490	26.7399165667565
n20494	27.8505503892952
n20495	27.4389744656779
n20504	25.9673913043478
n20506	28
n20513	25.2552838916924
n20518	25.821478944187
n20532	20
n20549	28.0919481669152
n20551	28.1823009243956
n20552	28.746064186602
n20554	29.3336147205327
n20555	28.4717971141233
n20562	28
n20564	27.9972657710195
n20565	27.903541472507
n20582	27.404929776859
n20584	26.7888318356868
n20612	28.1099596567725
n20620	25.0215053763441
internal_node_1925	20.1230259001895
n20638	26.4185589474013
n20640	26.5922701702306
n20650	25.353115727003
n20663	26.9517967960745
267890	21.3615544232994
n20717	24.3345657374543
internal_node_2129	22.2204383749206
n20719	17.4704466780853
n20720	15.3565480914399
n20722	17.8471749709355
n20723	15.902017242476
n20724	5.79558404558405
n20759	12.2307862921783
n20762	15.0384760467748
n20763	17.5
n20767	6.20462361119382
n20768	8.12668024439919
n20772	20.7723577235772
n20778	28.099554109649
n20779	33.8657306432604
n20780	33.9961600787388
n20782	36.0511945392491
n20794	13.8039281800556
n20826	18.4883998198844
267894	19.9894453313175
n20828	23.3035896203865
n20830	20.9728651183375
n20831	13.3656010892515
n20864	10
n20866	10
n20867	10
n20871	10
n20872	10
n20880	20.2041613054901
n20883	10.5746691871456
n20936	27.3005957264019
n20937	26.8894359245369
n20938	27.0759027691754
n20944	27.836188557782
n20946	25.7355083692531
n20947	25.6511898460291
n20949	23.9072279080152
n20950	24.7645072451048
n20952	23.5490242942198
n20953	25.3512071869736
n20973	26.6444830467212
n20974	26.016987830084
n20976	26.0361829848893
n20979	28
n20990	11.4165465519143
n20991	15.1259164807141
internal_node_2757	14.4610314075223
n21014	28.6400105543547
n21017	30.7290236395267
n21019	31.8623504841466
n21047	28
n21048	28
internal_node_2898	16.8926647943626
n21068	19.1197634109308
internal_node_2910	30.7378278574923
n21087	30
n21110	13.0779839335196
n21111	19.7665393084405
n21113	24.1986711001395
n21115	23.5667136454902
n21116	22.0908183632735
n21131	31.2687879840869
internal_node_3071	30.0802302437303
n21136	28.1314808439284
n21137	26.0361701106427
n21140	29.0026941713601
n21147	28.0981495461419
n21168	28.123139752622
n21169	28.3808854818762
n21171	28.5269761606023
n21200	29.7492906689619
n21205	33.0429055325555
n21245	23.1366469386686
n21306	23.2453130147246
internal_node_3450	22.496199249978
n21309	20.6854716644758
n21310	24.2541480796139
n21350	23.9111912836403
n21362	22.8667356040817
n21363	28
n21366	19.2523331185386
n21370	13.0370548027341
n21397	25.5106412287348
