"tip_label"	"accession"	"taxid"	"taxname"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"AE006468-_Salmonella_enterica_subsp._enterica-_Salmonella_enterica_subsp._enterica-_|AE006468|-_LT2_T"	"AE006468"	"99287"	"Salmonella enterica subsp. enterica"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	"99287"
"AF008580-_Salmonella_enterica_subsp._arizonae-_Salmonella_enterica_subsp._arizonae-_|AF008580|-_ATCC_13314_T"	"AF008580"	"59203"	"Salmonella enterica subsp. arizonae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"MK942857-_Klebsiella_indica-_Klebsiella_indica-_|MK942857|-_TOUT106_T"	"MK942857"	"576"	"Klebsiella indica"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"576"	NA
"EU014680-_Salmonella_enterica_subsp._indica-_Salmonella_enterica_subsp._indica-_|EU014680|-_DSM_14848_T"	"EU014680"	"59207"	"Salmonella enterica subsp. indica"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EU014684-_Salmonella_enterica_subsp._houtenae-_Salmonella_enterica_subsp._houtenae-_|EU014684|-_DSM_9221_T"	"EU014684"	"59205"	"Salmonella enterica subsp. houtenae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EU014685-_Salmonella_enterica_subsp._salamae-_Salmonella_enterica_subsp._salamae-_|EU014685|-_DSM_9220_T"	"EU014685"	"59202"	"Salmonella enterica subsp. salamae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EU014688-_Salmonella_enterica_subsp._diarizonae-_Salmonella_enterica_subsp._diarizonae-_|EU014688|-_DSM_14847_T"	"EU014688"	"59204"	"Salmonella enterica subsp. diarizonae"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA
"EF643377-_Mangrovibacter_plantisponsor-_Mangrovibacter_plantisponsor-_|EF643377|-_MSSRF40_T"	"EF643377"	"451513"	"Mangrovibacter plantisponsor"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"451513"	NA
"KP319034-_Mangrovibacter_phragmitis-_Mangrovibacter_phragmitis-_|KP319034|-_MP23_T"	"KP319034"	"1691903"	"Mangrovibacter phragmitis"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1691903"	NA
"KM089834-_Mangrovibacter_yixingensis-_Mangrovibacter_yixingensis-_|KM089834|-_TULL-A_T"	"KM089834"	"1529639"	"Mangrovibacter yixingensis"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	"1529639"	NA
"AB681979-_Trabulsiella_guamensis-_Trabulsiella_guamensis-_|AB681979|-_NBRC_103172_T"	"AB681979"	"158852"	"Trabulsiella guamensis"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"158852"	NA
"DQ453129-_Trabulsiella_odontotermitis-_Trabulsiella_odontotermitis-_|DQ453129|-_Eant_3-9_T"	"DQ453129"	"379893"	"Trabulsiella odontotermitis"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	"379893"	NA
"HG972968-_Enterobacillus_tribolii-_Enterobacillus_tribolii-_|HG972968|-_IG-V01_T"	"HG972968"	"1487935"	"Enterobacillus tribolii"	"2"	"1224"	"1236"	"91347"	"1903412"	"1822002"	"1487935"	NA
"AF029227-_Salmonella_bongori-_Salmonella_bongori-_|AF029227|-_BR_1859_T"	"AF029227"	"54736"	"Salmonella bongori"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"54736"	NA
"AF530475-_Escherichia_fergusonii-_Escherichia_fergusonii-_|AF530475|-_ATCC_35469_T"	"AF530475"	"585054"	"Escherichia fergusonii"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"564"	"585054"
"X96963-_Shigella_flexneri-_Shigella_flexneri-_|X96963|-_ATCC_29903_LTP__T"	"X96963"	"623"	"Shigella flexneri"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"623"	NA
"X80725-_Escherichia_coli-_Escherichia_coli-_|X80725|-_ATCC_11775T_T"	"X80725"	"866789"	"Escherichia coli"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"562"	"866789"
"FR870445-_Shigella_sonnei-_Shigella_sonnei-_|FR870445|-_CECT_4887_T"	"FR870445"	"624"	"Shigella sonnei"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"624"	NA
"X96966-_Shigella_dysenteriae-_Shigella_dysenteriae-_|X96966|-_ATCC_13313_LTP__T"	"X96966"	"622"	"Shigella dysenteriae"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"622"	NA
"KJ787692-_Escherichia_marmotae-_Escherichia_marmotae-_|KJ787692|-_HT073016_T"	"KJ787692"	"1499973"	"Escherichia marmotae"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"1499973"	NA
"LR745848-_Escherichia_ruysiae-_Escherichia_ruysiae-_|LR745848|-_OPT1704_T"	"LR745848"	"2608867"	"Escherichia ruysiae"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"2608867"	NA
"AJ508775-_Escherichia_albertii-_Escherichia_albertii-_|AJ508775|-_LMG_20976_T"	"AJ508775"	"1115511"	"Escherichia albertii"	"2"	"1224"	"1236"	"91347"	"543"	"561"	"208962"	"1115511"
"HF558388-_Shigella_boydii-_Shigella_boydii-_|HF558388|-_P288_T"	"HF558388"	"621"	"Shigella boydii"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"621"	NA
"MK734184-_Intestinirhabdus_alba-_Intestinirhabdus_alba-_|MK734184|-_BIT-B35_T"	"MK734184"	"2899544"	"Intestinirhabdus alba"	"2"	"1224"	"1236"	"91347"	"543"	"2899543"	"2899544"	NA
"HQ992945-_Citrobacter_koseri-_Citrobacter_koseri-_|HQ992945|-_LMG_5519_T"	"HQ992945"	"545"	"Citrobacter koseri"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"545"	NA
"FR870441-_Citrobacter_amalonaticus-_Citrobacter_amalonaticus-_|FR870441|-_CECT_863_T"	"FR870441"	"35703"	"Citrobacter amalonaticus"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"35703"	NA
"AF025371-_Citrobacter_farmeri-_Citrobacter_farmeri-_|AF025371|-_CDC_2991-81_T"	"AF025371"	"67824"	"Citrobacter farmeri"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67824"	NA
"MN603664-_Citrobacter_telavivensis-_Citrobacter_telavivensis-_|MN603664|-_NMI7904_11_T"	"MN603664"	"2653932"	"Citrobacter telavivensis"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"2653932"	NA
"AF025363-_Citrobacter_rodentium-_Citrobacter_rodentium-_|AF025363|-_CDC_1843-73_T"	"AF025363"	"67825"	"Citrobacter rodentium"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67825"	NA
"AF025364-_Citrobacter_sedlakii-_Citrobacter_sedlakii-_|AF025364|-_CDC_4696-86_T"	"AF025364"	"67826"	"Citrobacter sedlakii"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67826"	NA
"AJ508303-_Kosakonia_cowanii-_Kosakonia_cowanii-_|AJ508303|-_CIP_107300_T"	"AJ508303"	"208223"	"Kosakonia cowanii"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"208223"	NA
"AB682276-_Escherichia_hermannii-_Escherichia_hermannii-_|AB682276|-_NBRC_105704_T"	"AB682276"	"565"	"Escherichia hermannii"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	"565"	NA
"AY373829-_Salmonella_subterranea-_Salmonella_subterranea-_|AY373829|-_FRCl_T"	"AY373829"	"255519"	"Salmonella subterranea"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	"255519"	NA
"X87276-_Klebsiella_pneumoniae_subsp._pneumoniae-_Klebsiella_pneumoniae_subsp._pneumoniae-_|X87276|-_DSM_30104_T_T"	"X87276"	"573"	"Klebsiella pneumoniae subsp. pneumoniae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"CP010523-_Klebsiella_variicola_subsp._variicola-_Klebsiella_variicola_subsp._variicola-_|CP010523|-_DSM_15968_n|G|_T"	"CP010523"	"244366"	"Klebsiella variicola subsp. variicola"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"244366"	NA
"AF009171-_Klebsiella_granulomatis-_Klebsiella_granulomatis-_|AF009171|-_no_culture_T"	"AF009171"	"39824"	"Klebsiella granulomatis"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"39824"	NA
"HG933295-_Klebsiella_quasipneumoniae_subsp._similipneumoniae-_Klebsiella_quasipneumoniae_subsp._similipneumoniae-_|HG933295|-_07A044_T"	"HG933295"	"1463164"	"Klebsiella quasipneumoniae subsp. similipneumoniae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"1463165"	NA
"MK040622-_Klebsiella_africana-_Klebsiella_africana-_|MK040622|-_SB5857_T"	"MK040622"	"2489010"	"Klebsiella africana"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2489010"	NA
"HG933296-_Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_|HG933296|-_01A030_T"	"HG933296"	"1667327"	"Klebsiella quasipneumoniae subsp. quasipneumoniae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"1463165"	NA
"AF130982-_Klebsiella_pneumoniae_subsp._ozaenae-_Klebsiella_pneumoniae_subsp._ozaenae-_|AF130982|-_ATCC11296_T"	"AF130982"	"574"	"Klebsiella pneumoniae subsp. ozaenae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"MK040621-_Klebsiella_variicola_subsp._tropica-_Klebsiella_variicola_subsp._tropica-_|MK040621|-_SB5531_T"	"MK040621"	"573"	"Klebsiella variicola subsp. tropica"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"Y17657-_Klebsiella_pneumoniae_subsp._rhinoscleromatis-_Klebsiella_pneumoniae_subsp._rhinoscleromatis-_|Y17657|-_ATCC13884T_T"	"Y17657"	"573"	"Klebsiella pneumoniae subsp. rhinoscleromatis"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"AJ251469-_Enterobacter_cloacae_subsp._cloacae-_Enterobacter_cloacae_subsp._cloacae-_|AJ251469|-_ATCC13047T_T"	"AJ251469"	"550"	"Enterobacter cloacae subsp. cloacae"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA
"AJ417484-_Enterobacter_cloacae-_Enterobacter_cloacae-_|AJ417484|-_ATCC_13047_T"	"AJ417484"	"550"	"Enterobacter cloacae"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA
"HQ651841-_Enterobacter_cloacae_subsp._dissolvens-_Enterobacter_cloacae_subsp._dissolvens-_|HQ651841|-_ATCC_23373_T"	"HQ651841"	"69219"	"Enterobacter cloacae subsp. dissolvens"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA
"HQ888848-_Enterobacter_siamensis-_Enterobacter_siamensis-_|HQ888848|-_C2361_T"	"HQ888848"	"990143"	"Enterobacter siamensis"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"990143"	NA
"CP018016-_Kosakonia_radicincitans-_Kosakonia_radicincitans-_|CP018016|-_DSM_16656_T"	"CP018016"	"1177180"	"Kosakonia radicincitans"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"283686"	"1177180"
"EF488759-_Kosakonia_oryzae-_Kosakonia_oryzae-_|EF488759|-_Ola_51_T"	"EF488759"	"497725"	"Kosakonia oryzae"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"497725"	NA
"JF795013-_Kosakonia_oryziphila-_Kosakonia_oryziphila-_|JF795013|-_REICA_142_T"	"JF795013"	"1005667"	"Kosakonia oryziphila"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1005667"	NA
"EU672801-_Kosakonia_arachidis-_Kosakonia_arachidis-_|EU672801|-_Ah-143_T"	"EU672801"	"551989"	"Kosakonia arachidis"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"551989"	NA
"JQ001784-_Kosakonia_sacchari-_Kosakonia_sacchari-_|JQ001784|-_SP1_T"	"JQ001784"	"1158459"	"Kosakonia sacchari"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1158459"	NA
"KP345901-_Kosakonia_pseudosacchari-_Kosakonia_pseudosacchari-_|KP345901|-_JM-387_T"	"KP345901"	"1646340"	"Kosakonia pseudosacchari"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1646340"	NA
"JF795011-_Kosakonia_oryzendophytica-_Kosakonia_oryzendophytica-_|JF795011|-_REICA_082_T"	"JF795011"	"1005665"	"Kosakonia oryzendophytica"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1005665"	NA
"MK567956-_Kosakonia_quasisacchari-_Kosakonia_quasisacchari-_|MK567956|-_WCHEs120001_T"	"MK567956"	"2529380"	"Kosakonia quasisacchari"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"2529380"	NA
"DQ273681-_Siccibacter_turicensis-_Siccibacter_turicensis-_|DQ273681|-_LMG_23730_T"	"DQ273681"	"1388748"	"Siccibacter turicensis"	"2"	"1224"	"1236"	"91347"	"543"	"1649298"	"357233"	"1388748"
"LK054215-_Siccibacter_colletis-_Siccibacter_colletis-_|LK054215|-_1383_T"	"LK054215"	"1505757"	"Siccibacter colletis"	"2"	"1224"	"1236"	"91347"	"543"	"1649298"	"1505757"	NA
"JN657217-_Phytobacter_massiliensis-_Phytobacter_massiliensis-_|JN657217|-_JC163_T"	"JN657217"	"1095768"	"Phytobacter massiliensis"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1485952"	"1095768"
"KX893413-_Phytobacter_palmae-_Phytobacter_palmae-_|KX893413|-_S29_T"	"KX893413"	"1855371"	"Phytobacter palmae"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1855371"	NA
"FJ611881-_Phytobacter_ursingii-_Phytobacter_ursingii-_|FJ611881|-_ATCC_27989_T"	"FJ611881"	"1972431"	"Phytobacter ursingii"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1972431"	NA
"DQ821583-_Phytobacter_diazotrophicus-_Phytobacter_diazotrophicus-_|DQ821583|-_LS_8_T"	"DQ821583"	"395631"	"Phytobacter diazotrophicus"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"395631"	NA
"AB273741-_Citrobacter_youngae-_Citrobacter_youngae-_|AB273741|-_GTC_1314_T"	"AB273741"	"133448"	"Citrobacter youngae"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"133448"	NA
"LC368255-_Enterobacter_oligotrophicus-_Enterobacter_oligotrophicus-_|LC368255|-_CCA6_T"	"LC368255"	"2478464"	"Enterobacter oligotrophicus"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2478464"	NA
"MF118666-_Cronobacter_dublinensis_subsp._dublinensis-_Cronobacter_dublinensis_subsp._dublinensis-_|MF118666|-_DSM_18705_T"	"MF118666"	"413498"	"Cronobacter dublinensis subsp. dublinensis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	NA
"EF059838-_Cronobacter_dublinensis_subsp._lactaridi-_Cronobacter_dublinensis_subsp._lactaridi-_|EF059838|-_E464_T"	"EF059838"	"1159496"	"Cronobacter dublinensis subsp. lactaridi"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	"1159496"
"EF059841-_Cronobacter_dublinensis_subsp._lausannensis-_Cronobacter_dublinensis_subsp._lausannensis-_|EF059841|-_E515_T"	"EF059841"	"1159560"	"Cronobacter dublinensis subsp. lausannensis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	"1159560"
"EF059877-_Cronobacter_universalis-_Cronobacter_universalis-_|EF059877|-_E797-_NCTC_9529_T"	"EF059877"	"1074000"	"Cronobacter universalis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"535744"	"1074000"
"EF059891-_Cronobacter_turicensis-_Cronobacter_turicensis-_|EF059891|-_z3032_T"	"EF059891"	"693216"	"Cronobacter turicensis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413502"	"693216"
"AJKU01000067-_Cronobacter_muytjensii-_Cronobacter_muytjensii-_|AJKU01000067|-_ATCC_51329_T"	"AJKU01000067"	"1159613"	"Cronobacter muytjensii"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413501"	"1159613"
"CAKW01000111-_Cronobacter_condimenti-_Cronobacter_condimenti-_|CAKW01000111|-_1330_T"	"CAKW01000111"	"1073999"	"Cronobacter condimenti"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"1163710"	"1073999"
"EF088379-_Cronobacter_sakazakii-_Cronobacter_sakazakii-_|EF088379|-_ATCC_29544_T"	"EF088379"	"28141"	"Cronobacter sakazakii"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"28141"	NA
"AJKV01000019-_Cronobacter_malonaticus-_Cronobacter_malonaticus-_|AJKV01000019|-_LMG_23826_T"	"AJKV01000019"	"1159491"	"Cronobacter malonaticus"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413503"	"1159491"
"DQ273684-_Franconibacter_pulveris-_Franconibacter_pulveris-_|DQ273684|-_601/05_T"	"DQ273684"	"435910"	"Franconibacter pulveris"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"435910"	NA
"KX865161-_Franconibacter_daqui-_Franconibacter_daqui-_|KX865161|-_DL503_T"	"KX865161"	"2047724"	"Franconibacter daqui"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"2047724"	NA
"DQ273688-_Franconibacter_helveticus-_Franconibacter_helveticus-_|DQ273688|-_LMG_23732_T"	"DQ273688"	"357240"	"Franconibacter helveticus"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"357240"	NA
"CP001560-_Shimwellia_blattae-_Shimwellia_blattae-_|CP001560|-_DSM_4481_T"	"CP001560"	"630626"	"Shimwellia blattae"	"2"	"1224"	"1236"	"91347"	"543"	"1335483"	"563"	"630626"
"FJ267523-_Shimwellia_pseudoproteus-_Shimwellia_pseudoproteus-_|FJ267523|-_521_T"	"FJ267523"	"570012"	"Shimwellia pseudoproteus"	"2"	"1224"	"1236"	"91347"	"543"	"1335483"	"570012"	NA
"MW411192-_Tenebrionibacter_intestinalis-_Tenebrionibacter_intestinalis-_|MW411192|-_BIT-L3_T"	"MW411192"	"2799638"	"Tenebrionibacter intestinalis"	"2"	"1224"	"1236"	"91347"	"543"	"2918836"	"2799638"	NA
"MW680835-_Tenebrionicola_larvae-_Tenebrionicola_larvae-_|MW680835|-_YMB-R21_T"	"MW680835"	"2815733"	"Tenebrionicola larvae"	"2"	"1224"	"1236"	"91347"	"543"	"2943312"	"2815733"	NA
"KF500917-_Erwinia_teleogrylli-_Erwinia_teleogrylli-_|KF500917|-_SCU-B244_T"	"KF500917"	"1384589"	"Erwinia teleogrylli"	"2"	"1224"	"1236"	"91347"	"543"	"2943317"	"1384589"	NA
"AJ233410-_Erwinia_amylovora-_Erwinia_amylovora-_|AJ233410|-_DSM_30165_T"	"AJ233410"	"552"	"Erwinia amylovora"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"552"	NA
"GQ405202-_Erwinia_piriflorinigrans-_Erwinia_piriflorinigrans-_|GQ405202|-_CECT_7348_T"	"GQ405202"	"1161919"	"Erwinia piriflorinigrans"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"665097"	"1161919"
"AB242880-_Erwinia_pyrifoliae-_Erwinia_pyrifoliae-_|AB242880|-_DSM12163_T"	"AB242880"	"644651"	"Erwinia pyrifoliae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"79967"	"644651"
"AB546198-_Erwinia_uzenensis-_Erwinia_uzenensis-_|AB546198|-_YPPS951_T"	"AB546198"	"717607"	"Erwinia uzenensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"717607"	NA
"AM055716-_Erwinia_tasmaniensis-_Erwinia_tasmaniensis-_|AM055716|-_Et1/99_T"	"AM055716"	"465817"	"Erwinia tasmaniensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"338565"	"465817"
"MK722097-_Mixta_tenebrionis-_Mixta_tenebrionis-_|MK722097|-_BIT-26_T"	"MK722097"	"2562439"	"Mixta tenebrionis"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"2562439"	NA
"FN547376-_Erwinia_aphidicola-_Erwinia_aphidicola-_|FN547376|-_LMG_24877_T"	"FN547376"	"68334"	"Erwinia aphidicola"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"68334"	NA
"AJ233417-_Erwinia_rhapontici-_Erwinia_rhapontici-_|AJ233417|-_DSM_4484_T"	"AJ233417"	"55212"	"Erwinia rhapontici"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"55212"	NA
"Z96086-_Erwinia_persicina-_Erwinia_persicina-_|Z96086|-_LMG_11254_T"	"Z96086"	"55211"	"Erwinia persicina"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"55211"	NA
"Y13249-_Erwinia_billingiae-_Erwinia_billingiae-_|Y13249|-_LMG_2613_T"	"Y13249"	"182337"	"Erwinia billingiae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"182337"	NA
"LN624761-_Erwinia_endophytica-_Erwinia_endophytica-_|LN624761|-_BSTT30_T"	"LN624761"	"1563158"	"Erwinia endophytica"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"1563158"	NA
"EU216736-_Pantoea_eucrina-_Pantoea_eucrina-_|EU216736|-_LMG_2781_T"	"EU216736"	"472693"	"Pantoea eucrina"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"472693"	NA
"JF295057-_Pantoea_wallisii-_Pantoea_wallisii-_|JF295057|-_LMG_26277_T"	"JF295057"	"1076551"	"Pantoea wallisii"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"1076551"	NA
"DQ504305-_Pantoea_dispersa-_Pantoea_dispersa-_|DQ504305|-_LMG2603_T"	"DQ504305"	"59814"	"Pantoea dispersa"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"59814"	NA
"KJ427829-_Pantoea_coffeiphila-_Pantoea_coffeiphila-_|KJ427829|-_Ca04_T"	"KJ427829"	"1465635"	"Pantoea coffeiphila"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"1465635"	NA
"AJ233414-_Erwinia_mallotivora-_Erwinia_mallotivora-_|AJ233414|-_DSM_4565_T"	"AJ233414"	"69222"	"Erwinia mallotivora"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"69222"	NA
"JQ809696-_Erwinia_psidii-_Erwinia_psidii-_|JQ809696|-_LMG_7039_T"	"JQ809696"	"69224"	"Erwinia psidii"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"69224"	NA
"Y13250-_Erwinia_tracheiphila-_Erwinia_tracheiphila-_|Y13250|-_LMG_2906-T_T"	"Y13250"	"65700"	"Erwinia tracheiphila"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"65700"	NA
"KP326384-_Mixta_intestinalis-_Mixta_intestinalis-_|KP326384|-_29Y89B_T"	"KP326384"	"1615494"	"Mixta intestinalis"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"1615494"	NA
"AB907776-_Mixta_theicola-_Mixta_theicola-_|AB907776|-_QC88-366_T"	"AB907776"	"1458355"	"Mixta theicola"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"1458355"	NA
"GU810925-_Erwinia_oleae-_Erwinia_oleae-_|GU810925|-_DAPP-PG_531_T"	"GU810925"	"796334"	"Erwinia oleae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"796334"	NA
"KY744694-_Izhakiella_australiensis-_Izhakiella_australiensis-_|KY744694|-_D4N98_T"	"KY744694"	"1926881"	"Izhakiella australiensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	"1926881"	NA
"KF436763-_Izhakiella_capsodis-_Izhakiella_capsodis-_|KF436763|-_N6PO6_T"	"KF436763"	"1367852"	"Izhakiella capsodis"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	"1367852"	NA
"FJ611848-_Erwinia_gerundensis-_Erwinia_gerundensis-_|FJ611848|-_EM595_T"	"FJ611848"	"1619313"	"Erwinia gerundensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"3026546"	"1619313"	NA
"GQ367478-_Mixta_calida-_Mixta_calida-_|GQ367478|-_1400/07_T"	"GQ367478"	"665913"	"Mixta calida"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"665913"	NA
"GQ367483-_Mixta_gaviniae-_Mixta_gaviniae-_|GQ367483|-_A18/07_T"	"GQ367483"	"665914"	"Mixta gaviniae"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"665914"	NA
"MG923525-_Pantoea_piersonii-_Pantoea_piersonii-_|MG923525|-_IIIF1SW-P2_T"	"MG923525"	"2364647"	"Pantoea piersonii"	"2"	"1224"	"1236"	"91347"	"1903409"	"2662752"	"2364647"	NA
"MZ457073-_Erwinia_phyllosphaerae-_Erwinia_phyllosphaerae-_|MZ457073|-_CMYE1_T"	"MZ457073"	"2853256"	"Erwinia phyllosphaerae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"2853256"	NA
"KM870781-_Erwinia_iniecta-_Erwinia_iniecta-_|KM870781|-_B120_T"	"KM870781"	"1560201"	"Erwinia iniecta"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"1560201"	NA
"FR870447-_Erwinia_toletana-_Erwinia_toletana-_|FR870447|-_CECT_5263_T"	"FR870447"	"92490"	"Erwinia toletana"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"92490"	NA
"GU166291-_Erwinia_typographi-_Erwinia_typographi-_|GU166291|-_Y1_T"	"GU166291"	"371042"	"Erwinia typographi"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"371042"	NA
"AJ233413-_Pantoea_cypripedii-_Pantoea_cypripedii-_|AJ233413|-_DSM_3873_T"	"AJ233413"	"55209"	"Pantoea cypripedii"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"55209"	NA
"AJ508302-_Enterobacter_hormaechei_subsp._hormaechei-_Enterobacter_hormaechei_subsp._hormaechei-_|AJ508302|-_CIP_103441_T"	"AJ508302"	"888063"	"Enterobacter hormaechei subsp. hormaechei"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	"888063"
"MK567958-_Enterobacter_quasihormaechei-_Enterobacter_quasihormaechei-_|MK567958|-_WCHEs120003_T"	"MK567958"	"2529382"	"Enterobacter quasihormaechei"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2529382"	NA
"HF679035-_Enterobacter_hormaechei_subsp._xiangfangensis-_Enterobacter_hormaechei_subsp._xiangfangensis-_|HF679035|-_10-17_T"	"HF679035"	"1296536"	"Enterobacter hormaechei subsp. xiangfangensis"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA
"AB004748-_Pluralibacter_gergoviae-_Pluralibacter_gergoviae-_|AB004748|-_JCM1234_T"	"AB004748"	"1354260"	"Pluralibacter gergoviae"	"2"	"1224"	"1236"	"91347"	"543"	"1330546"	"61647"	"1354260"
"AJ010486-_Pluralibacter_pyrinus-_Pluralibacter_pyrinus-_|AJ010486|-_KCTC2520_T"	"AJ010486"	"81476"	"Pluralibacter pyrinus"	"2"	"1224"	"1236"	"91347"	"543"	"1330546"	"81476"	NA
