tip_label	genome_id	kingdom	phylum	class	order	family	genus	species
GCA_002779235|k__Archaea|p__Candidatus_Woesearchaeota|c__Candidatus_Woesearchaeota_unclassified|o__Candidatus_Woesearchaeota_unclassified|f__Candidatus_Woesearchaeota_unclassified|g__Candidatus_Woesearchaeota_unclassified|s__Candidatus_Woesearchaeota_archaeon_CG07_land_8_20_14_0_80_44_23	GCA_002779235	Archaea	Candidatus_Woesearchaeota	Candidatus_Woesearchaeota_unclassified	Candidatus_Woesearchaeota_unclassified	Candidatus_Woesearchaeota_unclassified	Candidatus_Woesearchaeota_unclassified	Candidatus_Woesearchaeota_archaeon_CG07_land_8_20_14_0_80_44_23
GCA_000063445|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_arvoryzae	GCA_000063445	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella_arvoryzae
GCA_000011005|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_paludicola	GCA_000011005	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella_paludicola
GCA_000251105|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_conradii	GCA_000251105	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella_conradii
GCA_000147875|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanolacinia|s__Methanolacinia_petrolearia	GCA_000147875	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia_petrolearia
GCA_000243255|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoplanus|s__Methanoplanus_limicola	GCA_000243255	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	Methanoplanus_limicola
GCA_000017625|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula_boonei	GCA_000017625	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula_boonei
GCA_000327485|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula_formicica	GCA_000327485	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula_formicica
GCA_002839605|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_3	GCA_002839605	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_HGW_Methanomicrobiales_3
GCA_002839585|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_5	GCA_002839585	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_HGW_Methanomicrobiales_5
GCA_002839675|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_1	GCA_002839675	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_HGW_Methanomicrobiales_1
GCA_000021965|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanosphaerula|s__Methanosphaerula_palustris	GCA_000021965	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula_palustris
GCA_000015765|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_labreanum	GCA_000015765	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum_labreanum
GCA_001508695|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_53_19	GCA_001508695	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_53_19
GCA_000275865|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanofollis|s__Methanofollis_liminatans	GCA_000275865	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis	Methanofollis_liminatans
