"tip_label"	"genome_id"	"taxid"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"GCA_000017625|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula_boonei"	"GCA_000017625"	"456442"	"2157"	"28890"	"224756"	"2191"	"1198451"	"395331"	"358766"	"456442"
"GCA_000327485|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula_formicica"	"GCA_000327485"	"593750"	"2157"	"28890"	"224756"	"2191"	"1198451"	"395331"	"882104"	"593750"
"GCA_002839605|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_3"	"GCA_002839605"	"2013819"	"2157"	"28890"	"224756"	"2191"	NA	NA	"2013819"	NA
"GCA_002839585|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_5"	"GCA_002839585"	"2013821"	"2157"	"28890"	"224756"	"2191"	NA	NA	"2013821"	NA
"GCA_002839675|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_1"	"GCA_002839675"	"2013817"	"2157"	"28890"	"224756"	"2191"	NA	NA	"2013817"	NA
"GCA_000021965|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanosphaerula|s__Methanosphaerula_palustris"	"GCA_000021965"	"521011"	"2157"	"28890"	"224756"	"2191"	"1198451"	"475087"	"475088"	"521011"
"GCA_000015765|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_labreanum"	"GCA_000015765"	"410358"	"2157"	"28890"	"224756"	"2191"	"88404"	"2192"	"83984"	"410358"
"GCA_001508695|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_53_19"	"GCA_001508695"	"1641394"	"2157"	"28890"	"224756"	"2191"	NA	NA	"1641394"	NA
"GCA_000275865|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanofollis|s__Methanofollis_liminatans"	"GCA_000275865"	"28892"	"2157"	"28890"	"224756"	"2191"	"2194"	"81416"	"2201"	"28892"
"GCA_000013445|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei"	"GCA_000013445"	"323259"	"2157"	"28890"	"224756"	"2191"	"196137"	"2202"	"2203"	"323259"
"GCA_003173335|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_stamsii"	"GCA_003173335"	"1277351"	"2157"	"28890"	"224756"	"2191"	"196137"	"2202"	"1277351"	NA
"GCA_002839625|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_4"	"GCA_002839625"	"2013820"	"2157"	"28890"	"224756"	"2191"	NA	NA	"2013820"	NA
"GCA_003173355|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_lacunae"	"GCA_003173355"	"668570"	"2157"	"28890"	"224756"	"2191"	"196137"	"2202"	"668570"	NA
"GCA_000304355|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_bourgensis"	"GCA_000304355"	"1201294"	"2157"	"28890"	"224756"	"2191"	"2194"	"45989"	"83986"	"1201294"
"GCA_001017125|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_sediminis"	"GCA_001017125"	"1550566"	"2157"	"28890"	"224756"	"2191"	"2194"	"45989"	"1550566"	NA
"GCA_000015825|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_marisnigri"	"GCA_000015825"	"368407"	"2157"	"28890"	"224756"	"2191"	"2194"	"45989"	"2198"	"368407"
"GCA_900095385|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_chikugoensis"	"GCA_900095385"	"118126"	"2157"	"28890"	"224756"	"2191"	"2194"	"45989"	"118126"	NA
"GCA_002839575|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_6"	"GCA_002839575"	"2013822"	"2157"	"28890"	"224756"	"2191"	NA	NA	"2013822"	NA
"GCA_002839645|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_2"	"GCA_002839645"	"2013818"	"2157"	"28890"	"224756"	"2191"	NA	NA	"2013818"	NA
"GCA_000014945|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanothrix_thermoacetophila"	"GCA_000014945"	"349307"	"2157"	"28890"	"224756"	"2905377"	"143067"	"2222"	"2224"	"349307"
"GCA_000204415|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanothrix_soehngenii"	"GCA_000204415"	"990316"	"2157"	"28890"	"224756"	"2905377"	"143067"	"2222"	"2223"	"990316"
"GCA_001509375|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanosaeta_harundinacea"	"GCA_001509375"	"301375"	"2157"	"28890"	"224756"	"2905377"	"143067"	"2222"	"301375"	NA
"GCA_002926195|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinales_unclassified|g__Methanosarcinales_unclassified|s__ANME_2_cluster_archaeon_HR1"	"GCA_002926195"	"1968520"	"2157"	"28890"	"224756"	"94695"	NA	NA	"1968520"	NA
