"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"	"Taxon_name"	"Rank"
19461	"192992"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	"1497346"	"588674"	"320796"	"192992"	NA	NA	"Thermoleophilum"	"genus"
19461	"192994"	13	"201174+1497346+1760+186802+588674+85011+186807+2062+320796+68298+1883+192992+192994"	"2"	"201174"	"1497346"	"588674"	"320796"	"192992"	"192994"	NA	"Thermoleophilum minutum"	"species"
19465	"1224"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	NA	NA	NA	NA	NA	NA	"Pseudomonadota"	"phylum"
19465	"28211"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28211"	NA	NA	NA	NA	NA	"Alphaproteobacteria"	"class"
19465	"28216"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28216"	NA	NA	NA	NA	NA	"Betaproteobacteria"	"class"
19465	"206351"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28216"	"206351"	NA	NA	NA	NA	"Neisseriales"	"order"
19465	"356"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28211"	"356"	NA	NA	NA	NA	"Hyphomicrobiales"	"order"
19465	"2897176"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28216"	"206351"	"2897176"	NA	NA	NA	"Aquaspirillaceae"	"family"
19465	"69277"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28211"	"356"	"69277"	NA	NA	NA	"Phyllobacteriaceae"	"family"
19465	"187"	8	"1224+28211+28216+206351+356+2897176+69277+187"	"2"	"1224"	"28216"	"206351"	"2897176"	"187"	NA	NA	"Aquaspirillum"	"genus"
19467	"1236"	1	"1236"	"2"	"1224"	"1236"	NA	NA	NA	NA	NA	"Gammaproteobacteria"	"class"
