"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
12525	"2239"	1	"2239"	"2157"	"28890"	"183963"	"2235"	"2236"	"2239"	NA	NA
12529	"1963270"	1	"1963270"	"2157"	"28890"	"183963"	"2235"	"1963270"	NA	NA	NA
12531	"332246"	1	"332246"	"2157"	"28890"	"183963"	"2235"	"1963270"	"332246"	NA	NA
12534	"2249"	1	"2249"	"2157"	"28890"	"183963"	"2235"	"1963270"	"2249"	NA	NA
12539	"1644055"	2	"1644055+1644056"	"2157"	"28890"	"183963"	"1644055"	NA	NA	NA	NA
12539	"1644056"	2	"1644055+1644056"	"2157"	"28890"	"183963"	"1644055"	"1644056"	NA	NA	NA
12540	"56688"	1	"56688"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"56688"	NA	NA
12544	"1209988"	1	"1209988"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"1209988"	NA	NA
12557	"337243"	1	"337243"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"56688"	"337243"	NA
12573	"869896"	1	"869896"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"869896"	NA	NA
12577	"1075397"	1	"1075397"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"1075397"	NA	NA
12582	"293431"	1	"293431"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"293431"	NA	NA
12583	"1073986"	1	"1073986"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"1073986"	NA	NA
12585	"1008195"	1	"1008195"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"1008195"	NA	NA
12586	"60846"	1	"60846"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"60846"	NA	NA
12591	"376170"	1	"376170"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"376170"	NA	NA
12594	"695982"	1	"695982"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"695982"	NA	NA
12597	"2251"	1	"2251"	"2157"	"28890"	"183963"	"1644055"	"1644056"	"2251"	NA	NA
12610	"1963268"	1	"1963268"	"2157"	"28890"	"183963"	"2235"	"1963268"	NA	NA	NA
12612	"146825"	1	"146825"	"2157"	"28890"	"183963"	"2235"	"1963268"	"146825"	NA	NA
12613	"203135"	1	"203135"	"2157"	"28890"	"183963"	"2235"	"1963268"	"203135"	NA	NA
12619	"63743"	1	"63743"	"2157"	"28890"	"183963"	"2235"	"1963268"	"63743"	NA	NA
12620	"1073987"	1	"1073987"	"2157"	"28890"	"183963"	"2235"	"1963268"	"1073987"	NA	NA
12624	"2237"	1	"2237"	"2157"	"28890"	"183963"	"2235"	"1963268"	"2237"	NA	NA
12634	"2976354"	1	"2976354"	"2157"	"28890"	"183963"	"2235"	"2976354"	NA	NA	NA
12635	"1644060"	2	"1644060+1644061"	"2157"	"28890"	"183963"	"1644060"	NA	NA	NA	NA
12635	"1644061"	2	"1644060+1644061"	"2157"	"28890"	"183963"	"1644060"	"1644061"	NA	NA	NA
12636	"332951"	1	"332951"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"332951"	NA	NA
12642	"2256"	1	"2256"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"2256"	NA	NA
12643	"203193"	1	"203193"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"203193"	NA	NA
12646	"29287"	1	"29287"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"29287"	NA	NA
12649	"353799"	1	"353799"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"353799"	NA	NA
12652	"134813"	1	"134813"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"134813"	NA	NA
12660	"63742"	1	"63742"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"63742"	NA	NA
12666	"88723"	1	"88723"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"88723"	NA	NA
12672	"121871"	1	"121871"	"2157"	"28890"	"183963"	"1644060"	"1644061"	"121871"	NA	NA
